"time","outputs2[1]","outputs2[2]","outputs1[1]","outputs1[2]","done",
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,2,1,2,7,
0.002,0,2,1,2,7,
0.002,0,4,2,4,7,
0.004,0,4,2,4,7,
0.004,0,6,3,6,7,
0.006,0,6,3,6,7,
0.006,0,8,4,8,7,
0.008,0,8,4,8,7,
0.008,0,10,5,10,7,
0.01,0,10,5,10,7,
0.01,0,12,6,12,7,
0.012,0,12,6,12,7,
0.012,0,14,7,14,7,
0.014,0,14,7,14,7,
0.014,0,16,8,16,7,
0.016,0,16,8,16,7,
0.016,0,18,9,18,7,
0.018,0,18,9,18,7,
0.018,0,20,10,20,7,
0.02,0,20,10,20,7,
0.02,0,22,11,22,7,
0.02200000000000001,0,22,11,22,7,
0.02200000000000001,0,24,12,24,7,
0.02400000000000001,0,24,12,24,7,
0.02400000000000001,0,26,13,26,7,
0.02600000000000001,0,26,13,26,7,
0.02600000000000001,0,28,14,28,7,
0.02800000000000001,0,28,14,28,7,
0.02800000000000001,0,30,15,30,7,
0.03000000000000001,0,30,15,30,7,
0.03000000000000001,0,32,16,32,7,
0.03200000000000002,0,32,16,32,7,
0.03200000000000002,0,34,17,34,7,
0.03400000000000002,0,34,17,34,7,
0.03400000000000002,0,36,18,36,7,
0.03600000000000002,0,36,18,36,7,
0.03600000000000002,0,38,19,38,7,
0.03800000000000002,0,38,19,38,7,
0.03800000000000002,0,40,20,40,7,
0.04000000000000002,0,40,20,40,7,
0.04000000000000002,0,42,21,42,7,
0.04200000000000002,0,42,21,42,7,
0.04200000000000002,0,44,22,44,7,
0.04400000000000003,0,44,22,44,7,
0.04400000000000003,0,46,23,46,7,
0.04600000000000003,0,46,23,46,7,
0.04600000000000003,0,48,24,48,7,
0.04800000000000003,0,48,24,48,7,
0.04800000000000003,0,50,25,50,7,
0.05000000000000003,0,50,25,50,7,
0.05000000000000003,0,52,26,52,7,
0.05200000000000003,0,52,26,52,7,
0.05200000000000003,0,54,27,54,7,
0.05400000000000003,0,54,27,54,7,
0.05400000000000003,0,56,28,56,7,
0.05600000000000004,0,56,28,56,7,
0.05600000000000004,0,58,29,58,7,
0.05800000000000004,0,58,29,58,7,
0.05800000000000004,0,60,30,60,7,
0.06000000000000004,0,60,30,60,7,
0.06000000000000004,0,62,31,62,7,
0.06200000000000004,0,62,31,62,7,
0.06200000000000004,0,64,32,64,7,
0.06400000000000004,0,64,32,64,7,
0.06400000000000004,0,66,33,66,7,
0.06600000000000005,0,66,33,66,7,
0.06600000000000005,0,68,34,68,7,
0.06800000000000005,0,68,34,68,7,
0.06800000000000005,0,70,35,70,7,
0.07000000000000005,0,70,35,70,7,
0.07000000000000005,0,72,36,72,7,
0.07200000000000005,0,72,36,72,7,
0.07200000000000005,0,74,37,74,7,
0.07400000000000005,0,74,37,74,7,
0.07400000000000005,0,76,38,76,7,
0.07600000000000005,0,76,38,76,7,
0.07600000000000005,0,78,39,78,7,
0.07800000000000006,0,78,39,78,7,
0.07800000000000006,0,80,40,80,7,
0.08000000000000006,0,80,40,80,7,
0.08000000000000006,0,82,41,82,7,
0.08200000000000006,0,82,41,82,7,
0.08200000000000006,0,84,42,84,7,
0.08400000000000006,0,84,42,84,7,
0.08400000000000006,0,86,43,86,7,
0.08600000000000006,0,86,43,86,7,
0.08600000000000006,0,88,44,88,7,
0.08800000000000006,0,88,44,88,7,
0.08800000000000006,0,90,45,90,7,
0.09000000000000007,0,90,45,90,7,
0.09000000000000007,0,92,46,92,7,
0.09200000000000007,0,92,46,92,7,
0.09200000000000007,0,94,47,94,7,
0.09400000000000007,0,94,47,94,7,
0.09400000000000007,0,96,48,96,7,
0.09600000000000007,0,96,48,96,7,
0.09600000000000007,0,98,49,98,7,
0.09800000000000007,0,98,49,98,7,
0.09800000000000007,0,100,50,100,7,
0.1000000000000001,0,100,50,100,7,
0.1000000000000001,0,102,51,102,7,
0.1020000000000001,0,102,51,102,7,
0.1020000000000001,0,104,52,104,7,
0.1040000000000001,0,104,52,104,7,
0.1040000000000001,0,106,53,106,7,
0.1060000000000001,0,106,53,106,7,
0.1060000000000001,0,108,54,108,7,
0.1080000000000001,0,108,54,108,7,
0.1080000000000001,0,110,55,110,7,
0.1100000000000001,0,110,55,110,7,
0.1100000000000001,0,112,56,112,7,
0.1120000000000001,0,112,56,112,7,
0.1120000000000001,0,114,57,114,7,
0.1140000000000001,0,114,57,114,7,
0.1140000000000001,0,116,58,116,7,
0.1160000000000001,0,116,58,116,7,
0.1160000000000001,0,118,59,118,7,
0.1180000000000001,0,118,59,118,7,
0.1180000000000001,0,120,60,120,7,
0.1200000000000001,0,120,60,120,7,
0.1200000000000001,0,122,61,122,7,
0.1220000000000001,0,122,61,122,7,
0.1220000000000001,0,124,62,124,7,
0.1240000000000001,0,124,62,124,7,
0.1240000000000001,0,126,63,126,7,
0.1260000000000001,0,126,63,126,7,
0.1260000000000001,0,128,64,128,7,
0.1280000000000001,0,128,64,128,7,
0.1280000000000001,0,130,65,130,7,
0.1300000000000001,0,130,65,130,7,
0.1300000000000001,0,132,66,132,7,
0.1320000000000001,0,132,66,132,7,
0.1320000000000001,0,134,67,134,7,
0.1340000000000001,0,134,67,134,7,
0.1340000000000001,0,136,68,136,7,
0.1360000000000001,0,136,68,136,7,
0.1360000000000001,0,138,69,138,7,
0.1380000000000001,0,138,69,138,7,
0.1380000000000001,0,140,70,140,7,
0.1400000000000001,0,140,70,140,7,
0.1400000000000001,0,142,71,142,7,
0.1420000000000001,0,142,71,142,7,
0.1420000000000001,0,144,72,144,7,
0.1440000000000001,0,144,72,144,7,
0.1440000000000001,0,146,73,146,7,
0.1460000000000001,0,146,73,146,7,
0.1460000000000001,0,148,74,148,7,
0.1480000000000001,0,148,74,148,7,
0.1480000000000001,0,150,75,150,7,
0.1500000000000001,0,150,75,150,7,
0.1500000000000001,0,152,76,152,7,
0.1520000000000001,0,152,76,152,7,
0.1520000000000001,0,154,77,154,7,
0.1540000000000001,0,154,77,154,7,
0.1540000000000001,0,156,78,156,7,
0.1560000000000001,0,156,78,156,7,
0.1560000000000001,0,158,79,158,7,
0.1580000000000001,0,158,79,158,7,
0.1580000000000001,0,160,80,160,7,
0.1600000000000001,0,160,80,160,7,
0.1600000000000001,0,162,81,162,7,
0.1620000000000001,0,162,81,162,7,
0.1620000000000001,0,164,82,164,7,
0.1640000000000001,0,164,82,164,7,
0.1640000000000001,0,166,83,166,7,
0.1660000000000001,0,166,83,166,7,
0.1660000000000001,0,168,84,168,7,
0.1680000000000001,0,168,84,168,7,
0.1680000000000001,0,170,85,170,7,
0.1700000000000001,0,170,85,170,7,
0.1700000000000001,0,172,86,172,7,
0.1720000000000001,0,172,86,172,7,
0.1720000000000001,0,174,87,174,7,
0.1740000000000001,0,174,87,174,7,
0.1740000000000001,0,176,88,176,7,
0.1760000000000001,0,176,88,176,7,
0.1760000000000001,0,178,89,178,7,
0.1780000000000001,0,178,89,178,7,
0.1780000000000001,0,180,90,180,7,
0.1800000000000001,0,180,90,180,7,
0.1800000000000001,0,182,91,182,7,
0.1820000000000001,0,182,91,182,7,
0.1820000000000001,0,184,92,184,7,
0.1840000000000001,0,184,92,184,7,
0.1840000000000001,0,186,93,186,7,
0.1860000000000001,0,186,93,186,7,
0.1860000000000001,0,188,94,188,7,
0.1880000000000001,0,188,94,188,7,
0.1880000000000001,0,190,95,190,7,
0.1900000000000001,0,190,95,190,7,
0.1900000000000001,0,192,96,192,7,
0.1920000000000001,0,192,96,192,7,
0.1920000000000001,0,194,97,194,7,
0.1940000000000001,0,194,97,194,7,
0.1940000000000001,0,196,98,196,7,
0.1960000000000002,0,196,98,196,7,
0.1960000000000002,0,198,99,198,7,
0.1980000000000002,0,198,99,198,7,
0.1980000000000002,0,200,100,200,7,
0.2000000000000002,0,200,100,200,7,
