"time","Ldc.p.v","Ldc.p.i","outFem.V"
0,-0.2199999988079071,1000,5000
4e-06,-0.2199975997209549,999.8800030399539,5000
8e-06,-0.2199952006340027,999.7600156792932,0.003500000000000001
1.2e-05,-0.2199928006157279,999.6400379172644,0.004500000000000001
1.6e-05,-0.2199904015287757,999.5200697530902,0.005500000000000002
2e-05,-0.2199880022089928,999.4001111860036,2.143248452285543e-312
2.4e-05,-0.219985603238456,999.2801622152375,-1.609449225159692e-231
2.8e-05,-0.2199832043843344,999.1602228400241,8.487983164355155e-314
3.2e-05,-0.2199808057630435,999.0402930595961,4.243991591811858e-314
3.6e-05,-0.2199784074327908,998.9203728731858,1.185757550018992e-322
4e-05,-0.2199760091607459,998.8004622800261,9.456971327805318e-308
4.4e-05,-0.2199736111797392,998.6805612793491,1.485397053675691e-313
4.8e-05,-0.2199712133151479,998.5606698703879,2.308731420696697e-311
5.2e-05,-0.2199688156833872,998.4407880523747,8.420079298550201e-311
5.6e-05,-0.2199664182262495,998.3209158245427,1.424203448334824e-306
6e-05,-0.2199640210019425,998.2010531861243,4.673065926275573e-307
6.4e-05,-0.2199616239522584,998.0812001363527,-1.609801819571219e-231
6.8e-05,-0.2199592270771973,997.9613566744607,2.121995791014679e-313
7.2e-05,-0.2199568303767592,997.8415227996815,4.243991591811858e-314
7.6e-05,-0.2199544339091517,997.7216985112478,1.185757550018992e-322
8e-05,-0.2199520376161672,997.6018838083932,1.78021798415081e-306
8.4e-05,-0.2199496414978057,997.4820786903504,8.34448957102508e-308
8.8e-05,-0.2199472456122749,997.3622831563529,nan
9.2e-05,-0.2199448498431593,997.2424972056339,3.681697792617277e+180
9.6e-05,-0.2199424543650821,997.1227208374269,6.95211323174442e-310
0.0001,-0.2199400590034202,997.0029540509652,6.026468050728676e-312
0.000104,-0.2199376638745889,996.8831968454824,-1.60997381689314e-231
0.000108,-0.2199352689203806,996.7634492202118,1.060997895532043e-313
0.000112,-0.2199328741407953,996.6437111743872,1.000000000000002
0.000116,-0.2199304795940407,996.5239827072425,1.185757550018992e-322
0.00012,-0.219928085221909,996.404263818011,2.121995790965272e-314
0.000124,-0.2199256910244003,996.2845545059268,6.365987373883948e-314
0.000128,-0.2199232970015146,996.1648547702237,2.172923689950415e-311
0.000132,-0.2199209032696672,996.0451646101355,1.222269575595997e-311
0.000136,-0.2199185096542351,995.9254840248963,2
0.00014,-0.2199161161552183,995.80581301374,3.39982578630287e-317
0.000144,-0.2199137229472399,995.6861515759009,-5.562704219366416e-309
0.000148,-0.2199113299429882,995.5664997106131,6.952146885384381e-310
0.000152,-0.2199089370842557,995.4468574171107,6.952146885380033e-310
0.000156,-0.2199065444292501,995.3272246946279,6.952146885378452e-310
0.00016,-0.2199041519779712,995.2076015423995,6.952146885376476e-310
0.000164,-0.2199017597013153,995.0879879596595,6.952146885374104e-310
0.000168,-0.2198993675992824,994.9683839456427,0
0.000172,-0.2198969757009763,994.8487894995834,0
0.000176,-0.2198945840063971,994.729204620716,0
0.00018,-0.2198921925446484,994.609629308276,0
0.000184,-0.2198898011993151,994.4900635614977,-5.569940226632538e-309
0.000188,-0.2198874100868125,994.3705073796154,2.121995790965272e-314
0.000192,-0.2198850191489328,994.2509607618641,1
0.000196,-0.2198826283856761,994.1314237074795,1.267184946235656e-311
0.0002,-0.21988023785525,994.0118962156956,3.395193265593842e-313
0.000204,-0.2198778474994469,993.8923782857476,6.365987404516018e-314
0.000208,-0.2198754573473707,993.7728699168706,6.95211323174442e-310
0.000212,-0.2198730673699174,993.6533711083018,0
0.000216,-0.2198706775670871,993.5338818592751,2
0.00022,-0.2198682879970875,993.4144021690257,0
0.000224,-0.219865898572607,993.2949320367889,-5.573568841054077e-309
0.000228,-0.2198635093518533,993.1754714617999,6.952146885384381e-310
0.000232,-0.2198611203348264,993.0560204432937,6.952146885380033e-310
0.000236,-0.2198587315215264,992.9365789805057,6.952146885378452e-310
0.00024,-0.2198563428828493,992.8171470726735,6.952146885376476e-310
0.000244,-0.2198539544187952,992.6977247190321,6.952146885374104e-310
0.000248,-0.2198515661584679,992.5783119188161,0
0.000252,-0.2198491781018674,992.458908671261,0
0.000256,-0.2198467902489938,992.3395149756022,2.50096029924839e-320
0.00026,-0.2198444025707431,992.2201308310752,0
0.000264,-0.2198420150671154,992.1007562369149,-5.579001141536333e-309
0.000268,-0.2198396277381107,991.9813911923571,2.121995790965272e-314
0.000272,-0.2198372406419367,991.8620356966529,1
0.000276,-0.2198348537494894,991.7426897490301,1.267938012112687e-311
0.00028,-0.2198324670025613,991.6233533487233,3.395193265593842e-313
0.000284,-0.21983008045936,991.5040264949685,1.697596635934238e-313
0.000288,-0.2198276941198856,991.3847091870019,6.95211323174442e-310
0.000292,-0.2198253079841379,991.2654014240597,0
0.000296,-0.2198229219939094,991.1461032053782,2
0.0003,-0.2198205362365115,991.0268145301933,9.881312916824931e-324
0.000304,-0.2198181506537367,990.9075353977412,-5.586237148802474e-309
0.000308,-0.2198157652455848,990.7882658072581,8.487983163861089e-314
0.000312,-0.2198133800411597,990.6690057579802,1
0.000316,-0.2198109950404614,990.5497552491438,1.267184944907607e-311
0.00032,-0.2198086102143861,990.4305142799848,3.395193265593842e-313
0.000324,-0.2198062255920377,990.3112828497393,9.346029986702642e-307
0.000328,-0.2198038411443122,990.1920609576438,6.95211323174442e-310
0.000332,-0.2198014569003135,990.072848602944,0
0.000336,-0.2197990728600416,989.9536457848848,2
0.00034,-0.2197966889943928,989.8344525026896,0
0.000344,-0.2197943053033669,989.715268755595,-5.592157518678276e-309
0.000348,-0.2197919218160678,989.5960945428372,3.395193265544436e-313
0.000352,-0.2197895385324955,989.4769298636533,1
0.000356,-0.2197871554235462,989.3577747172792,1.267184946235656e-311
0.00036,-0.2197847725183237,989.238629102952,3.395193265593842e-313
0.000364,-0.2197823897877242,989.1194930199081,1.112606870234881e-306
0.000368,-0.2197800072608516,989.0003664673839,6.95211323174442e-310
0.000372,-0.2197776249377057,988.8812494446161,0
0.000376,-0.2197752427891828,988.7621419508411,2
0.00038,-0.2197728608152829,988.6430439852955,0
0.000384,-0.2197704790451098,988.523955547216,-5.595298074067893e-309
0.000388,-0.2197680974786635,988.4048766358682,6.952146885384381e-310
0.000392,-0.2197657160868403,988.2858072505041,6.952146885380033e-310
0.000396,-0.2197633348987438,988.1667473903298,6.952146885378452e-310
0.0004,-0.2197609538852703,988.0476970545828,6.952146885376476e-310
0.000404,-0.2197585730755236,987.9286562425007,6.952146885374104e-310
0.000408,-0.2197561924403999,987.8096249533206,0
0.000412,-0.219753812009003,987.6906031862801,0
0.000416,-0.2197514317522291,987.5715909406169,2.460446916289408e-320
0.00042,-0.219749051699182,987.4525882155681,0
0.000424,-0.2197466718498617,987.3335950103714,-5.600730374550386e-309
0.000428,-0.2197442921460606,987.214611324264,6.952146885384381e-310
0.000432,-0.2197419126750901,987.0956371564832,6.952146885380033e-310
0.000436,-0.2197395333787426,986.9766725062671,6.952146885378452e-310
0.00044,-0.2197371542861219,986.8577173728526,6.952146885376476e-310
0.000444,-0.2197347753681242,986.738771755527,6.952146885374104e-310
0.000448,-0.2197323966538534,986.61983565354,0
0.000452,-0.2197300181142054,986.5009090660891,0
0.000456,-0.2197276397782844,986.3819919924127,2.526651712832135e-320
0.00046,-0.2197252616460901,986.2630844317499,1.266831487206268e-311
0.000464,-0.2197228836594149,986.1441863833393,-5.607966381816606e-309
0.000468,-0.2197205058764666,986.0252978464202,6.952146885384381e-310
0.000472,-0.219718128326349,985.906418820231,6.952146885380033e-310
0.000476,-0.2197157509217504,985.7875493040108,6.952146885378452e-310
0.00048,-0.2197133737208787,985.6686892969983,6.952146885376476e-310
0.000484,-0.2197109967237338,985.5498387984326,6.952146885374104e-310
0.000488,-0.2197086199012119,985.4309978075522,0
0.000492,-0.219706243253313,985.3121663235962,0
0.000496,-0.2197038668091409,985.1933443458033,2.50096029924839e-320
0.0005,-0.2197014905686956,985.0745318734128,9.881312916824931e-324
0.000504,-0.2196991145028733,984.9557289056627,-5.613398692660407e-309
0.000508,-0.2196967386407778,984.8369354417927,3.395193265544436e-313
0.000512,-0.2196943629533052,984.7181514810411,1
0.000516,-0.2196919874695595,984.599377022647,1.267184946235656e-311
0.00052,-0.2196896121895406,984.4806120658493,3.395193265593842e-313
0.000524,-0.2196872370550409,984.3618566098866,1.112606870234881e-306
0.000528,-0.2196848621533718,984.2431106539981,6.95211323174442e-310
0.000532,-0.2196824874263257,984.1243741974221,0
0.000536,-0.2196801128739025,984.0056472393981,2
0.00054,-0.2196777385252062,983.8869297791647,0
0.000544,-0.2196753643802367,983.7682218159605,-5.617027338166186e-309
0.000548,-0.2196729904098902,983.6495233490245,6.952146885384381e-310
0.000552,-0.2196706166141666,983.5308343775959,6.952146885380033e-310
0.000556,-0.2196682430512737,983.4121549010194,6.952146885378452e-310
0.00056,-0.2196658696339,983.2934849185033,6.952146885376476e-310
0.000564,-0.2196634964202531,983.1748244292311,6.952146885374104e-310
0.000568,-0.2196611234103329,983.0561734324428,0
0.000572,-0.2196587505750358,982.9375319273779,0
0.000576,-0.2196563779143617,982.8188999132761,2.459458784997725e-320
0.00058,-0.2196540054865181,982.7002773893772,0
0.000584,-0.2196516332332976,982.5816643549206,-5.622459649010065e-309
0.000588,-0.2196492611547001,982.4630608091462,2.121995790965272e-314
0.000592,-0.2196468892798293,982.3444667512936,1
0.000596,-0.2196445175795816,982.2258821806024,1.267184946235656e-311
0.0006,-0.2196421460830607,982.1073070963124,3.395193265593842e-313
0.000604,-0.2196397747611627,981.9887414976631,2.33419537322382e-313
0.000608,-0.2196374036429916,981.8701853838943,6.95211323174442e-310
0.000612,-0.2196350326994434,981.7516387542456,0
0.000616,-0.2196326619887259,981.6331016079569,2
0.00062,-0.2196302913944237,981.5145739442677,0
0.000624,-0.2196279210329521,981.3960557624175,-5.627891959853886e-309
0.000628,-0.2196255508752074,981.2775470616463,6.952146885384381e-310
0.000632,-0.2196231808920857,981.1590478411935,6.952146885380033e-310
0.000636,-0.2196208110835869,981.040558100299,6.952146885378452e-310
0.00064,-0.2196184415079188,980.9220778382023,6.952146885376476e-310
0.000644,-0.2196160720777698,980.8036070541432,6.952146885374104e-310
0.000648,-0.2196137028513476,980.6851457473613,0
0.000652,-0.2196113338286523,980.5666939170961,0
0.000656,-0.2196089649805799,980.4482515625876,2.474280754372963e-320
0.00066,-0.2196065963071305,980.3298186830754,0
0.000664,-0.2196042278665118,980.2113952777989,-5.635552355916972e-309
0.000668,-0.2196018595714122,980.0929813463144,6.952146885384381e-310
0.000672,-0.2195994914800394,979.9745768876808,6.952146885380033e-310
0.000676,-0.2195971235923935,979.8561819010475,6.952146885378452e-310
0.00068,-0.2195947558793705,979.7377963856557,6.952146885376476e-310
0.000684,-0.2195923883409705,979.6194203407465,6.952146885374104e-310
0.000688,-0.2195900210354012,979.5010537655613,0
0.000692,-0.219587653875351,979.3826966593411,0
0.000696,-0.2195852869190276,979.2643490213273,2.4891027237482e-320
0.0007,-0.219582920166431,979.1460108507611,0
0.000704,-0.2195805535884574,979.0276821468835,-5.638756571180318e-309
0.000708,-0.2195781871851068,978.909362908936,2.121995790965272e-314
0.000712,-0.2195758210145868,978.7910531361596,1
0.000716,-0.219573454989586,978.6727528277954,1.185757550018992e-322
0.00072,-0.219571089168312,978.5544619830848,6.365987372895817e-314
0.000724,-0.2195687235507648,978.436180601269,2.3341953700618e-313
0.000728,-0.2195663581078406,978.3179086815891,1.765500498177967e-311
0.000732,-0.2195639928686433,978.1996462232863,8.420079298550201e-311
0.000736,-0.2195616278040688,978.0813932256019,2
0.00074,-0.2195592629432213,977.9631496877771,0
0.000744,-0.2195568982569966,977.8449156090533,-5.644188882024119e-309
0.000748,-0.219554533745395,977.7266909886712,6.952146885384381e-310
0.000752,-0.219552169466624,977.6084758258721,6.952146885380033e-310
0.000756,-0.2195498053333722,977.4902701198977,6.952146885378452e-310
0.00076,-0.219547441432951,977.3720738699888,6.952146885376476e-310
0.000764,-0.219545077678049,977.2538870753865,6.952146885374104e-310
0.000768,-0.2195427141268738,977.1357097353324,0
0.000772,-0.2195403507794254,977.0175418490674,0
