"time","der(h)","der(v)","e","g","h","v","v_new"
0.232,-2.27592,-9.81,-1.3027e-231,-3.80539e-270,0.735993,-2.27592,0
0.234,-2.29554,-9.81,2.97445e-315,5.3241e-315,0.731422,-2.29554,0
0.236,-2.31516,-9.81,8.09624e-315,6.338e-315,0.726811,-2.31516,0
0.238,-2.33478,-9.81,5.94756e-315,4.15074e-317,0.722161,-2.33478,0
0.24,-2.3544,-9.81,5.30258e-315,0,0.717472,-2.3544,0
0.242,-2.37402,-9.81,5.97601e-315,5.3241e-315,0.712744,-2.37402,0
0.244,-2.39364,-9.81,7.90505e-321,5.11101e-315,0.707976,-2.39364,0
0.246,-2.41326,-9.81,5.96029e-315,0,0.703169,-2.41326,0
0.248,-2.43288,-9.81,5.30257e-315,5.56338e-309,0.698323,-2.43288,0
0.25,-2.4525,-9.81,5.29834e-315,3.45487e-313,0.693437,-2.4525,0
0.252,-2.47212,-9.81,-1.30313e-231,-1.29519e-231,0.688513,-2.47212,0
0.254,-2.49174,-9.81,1.6976e-313,2.97445e-315,0.683549,-2.49174,0
0.256,-2.51136,-9.81,1.4854e-313,7.17561e-314,0.678546,-2.51136,0
0.258,-2.53098,-9.81,1.18576e-322,6.36595e-315,0.673504,-2.53098,0
0.26,-2.5506,-9.81,1.60219e-306,5.3241e-315,0.668422,-2.5506,0
0.262,-2.57022,-9.81,5.00659e-308,6.3713e-315,0.663301,-2.57022,0
0.264,-2.58984,-9.81,5.29819e-315,7.90505e-321,0.658141,-2.58984,0
0.266,-2.60946,-9.81,5.29834e-315,5.32409e-315,0.652942,-2.60946,0
0.268,-2.62908,-9.81,5.29835e-315,5.3241e-315,0.647703,-2.62908,0
0.27,-2.6487,-9.81,5.29833e-315,4.45028e-308,0.642425,-2.6487,0
0.272,-2.66832,-9.81,-2.60752e-310,-1.2956e-231,0.637108,-2.66832,0
0.274,-2.68794,-9.81,1.061e-313,2.97445e-315,0.631752,-2.68794,0
0.276,-2.70756,-9.81,9.88131e-323,1,0.626357,-2.70756,0
0.278,-2.72718,-9.81,1.18576e-322,6.36595e-315,0.620922,-2.72718,0
0.28,-2.7468,-9.81,8.9007e-308,5.3241e-315,0.615448,-2.7468,0
0.282,-2.76642,-9.81,2.47033e-322,6.37131e-315,0.609935,-2.76642,0
0.284,-2.78604,-9.81,1.44634e-307,7.90505e-321,0.604382,-2.78604,0
0.286,-2.80566,-9.81,1.22384e-307,5.3241e-315,0.598791,-2.80566,0
0.288,-2.82528,-9.81,8.09525e-300,5.29818e-315,0.59316,-2.82528,0
0.29,-2.8449,-9.81,0,1.37961e-306,0.587489,-2.8449,0
0.292,-2.86452,-9.81,-1.30376e-231,-1.29582e-231,0.58178,-2.86452,0
0.294,-2.88414,-9.81,2.97445e-315,2.97445e-315,0.576031,-2.88414,0
0.296,-2.90376,-9.81,1,-0.00577394,0.570244,-2.90376,0
0.298,-2.92338,-9.81,5.94754e-315,6.36595e-315,0.564416,-2.92338,0
0.3,-2.943,-9.81,5.30258e-315,5.3241e-315,0.55855,-2.943,0
0.302,-2.96262,-9.81,5.97597e-315,6.37132e-315,0.552644,-2.96262,0
0.304,-2.98224,-9.81,1.39072e-307,0.360684,0.5467,-2.98224,0
0.306,-3.00186,-9.81,5.30257e-315,5.3241e-315,0.540715,-3.00186,0
0.308,-3.02148,-9.81,5.30258e-315,5.96029e-315,0.534692,-3.02148,0
0.31,-3.0411,-9.81,0,5.91691e-315,0.528629,-3.0411,0
0.312,-3.06072,-9.81,5.91694e-315,-1.2961e-231,0.522528,-3.06072,0
0.314,-3.08034,-9.81,8.49455e-315,1.2732e-313,0.516387,-3.08034,0
0.316,-3.09996,-9.81,1.78022e-306,6.37131e-315,0.510206,-3.09996,0
0.318,-3.11958,-9.81,8.45599e-307,-9,0.503987,-3.11958,0
0.32,-3.1392,-9.81,1.11953e-190,1.47397e-315,0.497728,-3.1392,0
0.322,-3.15882,-9.81,208.503,-7,0.49143,-3.15882,0
0.324,-3.17844,-9.81,5.02913e-312,0,0.485093,-3.17844,0
0.326,-3.19806,-9.81,5.02913e-312,6.33812e-315,0.478716,-3.19806,0
0.328,-3.21768,-9.81,0,-3,0.4723,-3.21768,0
0.33,-3.2373,-9.81,5.91963e-315,1.08222e-312,0.465845,-3.2373,0
0.332,-3.25692,-9.81,2.122e-314,-3.81018e-270,0.459351,-3.25692,0
0.334,-3.27654,-9.81,4.94066e-324,5.3241e-315,0.452818,-3.27654,0
0.336,-3.29616,-9.81,0,6.338e-315,0.446245,-3.29616,0
0.338,-3.31578,-9.81,0,4.15074e-317,0.439633,-3.31578,0
0.34,-3.3354,-9.81,6.09649e-311,0,0.432982,-3.3354,0
0.342,-3.35502,-9.81,0,5.3241e-315,0.426292,-3.35502,0
0.344,-3.37464,-9.81,0,5.3241e-315,0.419562,-3.37464,0
0.346,-3.39426,-9.81,0,0,0.412793,-3.39426,0
0.348,-3.41388,-9.81,4.5538e-311,4.17271e-309,0.405985,-3.41388,0
0.35,-3.4335,-9.81,4.5538e-311,1.69121e-306,0.399137,-3.4335,0
0.352,-3.45312,-9.81,0,-1.4905e-310,0.392251,-3.45312,0
0.354,-3.47274,-9.81,0,6.95194e-310,0.385325,-3.47274,0
0.356,-3.49236,-9.81,0,6.95194e-310,0.37836,-3.49236,0
0.358,-3.51198,-9.81,0,6.95194e-310,0.371356,-3.51198,0
0.36,-3.5316,-9.81,0,2.122e-314,0.364312,-3.5316,0
0.362,-3.55122,-9.81,0,0,0.357229,-3.55122,0
0.364,-3.57084,-9.81,0,0,0.350107,-3.57084,0
0.366,-3.59046,-9.81,0,0,0.342946,-3.59046,0
0.368,-3.61008,-9.81,0,0,0.335745,-3.61008,0
0.37,-3.6297,-9.81,0,0,0.328505,-3.6297,0
0.372,-3.64932,-9.81,0,-1.29708e-231,0.321226,-3.64932,0
0.374,-3.66894,-9.81,2.122e-314,5.69885e-317,0.313908,-3.66894,0
0.376,-3.68856,-9.81,1.61632e-310,0,0.306551,-3.68856,0
0.378,-3.70818,-9.81,1.61632e-310,9.81,0.299154,-3.70818,0
0.38,-3.7278,-9.81,3.23265e-310,1,0.291718,-3.7278,0
0.382,-3.74742,-9.81,2.122e-314,0,0.284243,-3.74742,0
0.384,-3.76704,-9.81,4.5538e-311,5.32411e-315,0.276728,-3.76704,0
0.386,-3.78666,-9.81,1.41994e-320,5.3241e-315,0.269175,-3.78666,0
0.388,-3.80628,-9.81,0,9.88131e-324,0.261582,-3.80628,0
0.39,-3.8259,-9.81,0,9.45697e-308,0.253949,-3.8259,0
0.392,-3.84552,-9.81,0,-3.81274e-270,0.246278,-3.84552,0
0.394,-3.86514,-9.81,0,2.122e-314,0.238567,-3.86514,0
0.396,-3.88476,-9.81,0,1,0.230818,-3.88476,0
0.398,-3.90438,-9.81,0,5.97186e-315,0.223028,-3.90438,0
0.4,-3.924,-9.81,0,3.39519e-313,0.2152,-3.924,0
0.402,-3.94362,-9.81,0,3.16202e-322,0.207332,-3.94362,0
0.404,-3.96324,-9.81,0,8.50496e-315,0.199426,-3.96324,0
0.406,-3.98286,-9.81,0,0,0.191479,-3.98286,0
0.408,-4.00248,-9.81,0,2,0.183494,-4.00248,0
0.41,-4.0221,-9.81,0,6.2242e-315,0.175469,-4.0221,0
0.412,-4.04172,-9.81,0,-1.63649e-310,0.167406,-4.04172,0
0.414,-4.06134,-9.81,0,6.95194e-310,0.159303,-4.06134,0
0.416,-4.08096,-9.81,0,6.95194e-310,0.15116,-4.08096,0
0.418,-4.10058,-9.81,0,6.95194e-310,0.142979,-4.10058,0
0.42,-4.1202,-9.81,2.122e-314,2.122e-314,0.134758,-4.1202,0
0.422,-4.13982,-9.81,0,0,0.126498,-4.13982,0
0.424,-4.15944,-9.81,0,0,0.118199,-4.15944,0
0.426,-4.17906,-9.81,0,4.94066e-324,0.10986,-4.17906,0
0.428,-4.19868,-9.81,2.122e-314,0,0.101482,-4.19868,0
0.43,-4.2183,-9.81,0,0,0.0930655,-4.2183,0
0.432,-4.23792,-9.81,0,-3.81463e-270,0.0846093,-4.23792,0
0.434,-4.25754,-9.81,1.93972e-310,2.122e-314,0.0761138,-4.25754,0
0.436,-4.27716,-9.81,1.61632e-310,1,0.0675791,-4.27716,0
0.438,-4.29678,-9.81,6.36599e-314,5.97183e-315,0.0590052,-4.29678,0
0.44,-4.3164,-9.81,1.17094e-321,4.94066e-324,0.050392,-4.3164,0
0.442,-4.33602,-9.81,1.2732e-313,3.16202e-322,0.0417396,-4.33602,0
0.444,-4.35564,-9.81,0,8.50496e-315,0.0330479,-4.35564,0
0.446,-4.37526,-9.81,0,0,0.024317,-4.37526,0
0.448,-4.39488,-9.81,0,2,0.0155469,-4.39488,0
0.45,-4.4145,-9.81,0,9.88131e-324,0.0067375,-4.4145,0
0.451524,-4.42945,-9.81,0,-1.29844e-231,-1.00042e-10,-4.42945,0
0.451524,3.10061,-9.81,4.94066e-324,5.69885e-317,-1.00042e-10,3.10061,3.10061
0.451524,3.10061,-9.81,0,0,1.00002e-10,3.10061,3.10061
0.451524,3.10061,-9.81,0,-4.42945,1.00002e-10,3.10061,3.10061
0.452,3.09594,-9.81,0,1,0.00147589,3.09594,3.10061
0.454,3.07632,-9.81,0,7.53006,0.00764815,3.07632,3.10061
0.456,3.0567,-9.81,0,5.957e-315,0.0137812,3.0567,3.10061
0.458,3.03708,-9.81,0,6.35377e-315,0.019875,3.03708,3.10061
0.46,3.01746,-9.81,0,2.49997e-321,0.0259295,3.01746,3.10061
0.462,2.99784,-9.81,0,5.91691e-315,0.0319448,2.99784,3.10061
0.464,2.97822,-9.81,1.93972e-310,-1.29865e-231,0.0379208,2.97822,3.10061
0.466,2.9586,-9.81,1.61632e-310,2.97445e-315,0.0438577,2.9586,3.10061
0.468,2.93898,-9.81,6.36599e-314,8.09624e-315,0.0497552,2.93898,3.10061
0.47,2.91936,-9.81,1.17094e-321,6.22291e-315,0.0556136,2.91936,3.10061
0.472,2.89974,-9.81,1.2732e-313,5.32411e-315,0.0614327,2.89974,3.10061
0.474,2.88012,-9.81,0,6.37132e-315,0.0672125,2.88012,3.10061
0.476,2.8605,-9.81,0,7.90505e-321,0.0729532,2.8605,3.10061
0.478,2.84088,-9.81,0,5.32411e-315,0.0786545,2.84088,3.10061
0.48,2.82126,-9.81,0,5.32409e-315,0.0843167,2.82126,3.10061
0.482,2.80164,-9.81,0,5.91689e-315,0.0899396,2.80164,3.10061
0.484,2.78202,-9.81,4.94066e-324,-1.29905e-231,0.0955232,2.78202,3.10061
0.486,2.7624,-9.81,0,2.97445e-315,0.101068,2.7624,3.10061
0.488,2.74278,-9.81,0,7.17561e-314,0.106573,2.74278,3.10061
0.49,2.72316,-9.81,0,6.22292e-315,0.112039,2.72316,3.10061
0.492,2.70354,-9.81,0,5.32411e-315,0.117465,2.70354,3.10061
0.494,2.68392,-9.81,0,6.37131e-315,0.122853,2.68392,3.10061
0.496,2.6643,-9.81,0,7.90505e-321,0.128201,2.6643,3.10061
0.498,2.64468,-9.81,0,5.3241e-315,0.13351,2.64468,3.10061
0.5,2.62506,-9.81,0,5.32411e-315,0.13878,2.62506,3.10061
0.502,2.60544,-9.81,4.94066e-324,5.91691e-315,0.14401,2.60544,3.10061
0.504,2.58582,-9.81,5.28609e-315,-1.2993e-231,0.149202,2.58582,3.10061
0.506,2.5662,-9.81,5.28609e-315,2.122e-314,0.154354,2.5662,3.10061
0.508,2.54658,-9.81,6.12641e-322,0,0.159466,2.54658,3.10061
0.51,2.52696,-9.81,5.31399e-315,0,0.16454,2.52696,3.10061
0.512,2.50734,-9.81,5.92682e-315,6.36594e-315,0.169574,2.50734,3.10061
0.514,2.48772,-9.81,4.24399e-314,5.3241e-315,0.174569,2.48772,3.10061
0.516,2.4681,-9.81,1.07222e+20,2.97379e-315,0.179525,2.4681,3.10061
0.518,2.44848,-9.81,4.60601e+26,6.36599e-314,0.184442,2.44848,3.10061
0.52,2.42886,-9.81,4.94066e-324,2,0.189319,2.42886,3.10061
0.522,2.40924,-9.81,0,1.44638e-307,0.194157,2.40924,3.10061
0.524,2.38962,-9.81,0,-1.29964e-231,0.198956,2.38962,3.10061
0.526,2.37,-9.81,0,4.24399e-314,0.203716,2.37,3.10061
0.528,2.35038,-9.81,0,1.2732e-313,0.208436,2.35038,3.10061
0.53,2.33076,-9.81,0,1.18576e-322,0.213117,2.33076,3.10061
0.532,2.31114,-9.81,4.94066e-324,0,0.217759,2.31114,3.10061
0.534,2.29152,-9.81,0,1,0.222362,2.29152,3.10061
0.536,2.2719,-9.81,4.94066e-324,-3,0.226925,2.2719,3.10061
0.538,2.25228,-9.81,0,-1,0.231449,2.25228,3.10061
0.54,2.23266,-9.81,0,1,0.235934,2.23266,3.10061
0.542,2.21304,-9.81,0,5.00662e-308,0.24038,2.21304,3.10061
0.544,2.19342,-9.81,0,-1.29991e-231,0.244786,2.19342,3.10061
0.546,2.1738,-9.81,0,5.69447e-317,0.249154,2.1738,3.10061
0.548,2.15418,-9.81,0,5.97619e-315,0.253482,2.15418,3.10061
0.55,2.13456,-9.81,0,5.6947e-317,0.25777,2.13456,3.10061
0.552,2.11494,-9.81,0,6.36573e-315,0.26202,2.11494,3.10061
0.554,2.09532,-9.81,0,0,0.26623,2.09532,3.10061
0.556,2.0757,-9.81,0,5.97619e-315,0.270401,2.0757,3.10061
0.558,2.05608,-9.81,0,6.22291e-315,0.274533,2.05608,3.10061
0.56,2.03646,-9.81,0,5.11101e-315,0.278625,2.03646,3.10061
0.562,2.01684,-9.81,0,5.91691e-315,0.282679,2.01684,3.10061
0.564,1.99722,-9.81,0,-3.82129e-270,0.286693,1.99722,3.10061
0.566,1.9776,-9.81,0,5.32409e-315,0.290668,1.9776,3.10061
0.568,1.95798,-9.81,0,1.47533e-315,0.294603,1.95798,3.10061
0.57,1.93836,-9.81,0,6.3713e-315,0.2985,1.93836,3.10061
0.572,1.91874,-9.81,0,0,0.302357,1.91874,3.10061
0.574,1.89912,-9.81,0,5.30257e-315,0.306175,1.89912,3.10061
0.576,1.8795,-9.81,0,5.3241e-315,0.309953,1.8795,3.10061
0.578,1.85988,-9.81,0,0,0.313693,1.85988,3.10061
0.58,1.84026,-9.81,0,1,0.317393,1.84026,3.10061
0.582,1.82064,-9.81,0,4.45039e-308,0.321054,1.82064,3.10061
0.584,1.80102,-9.81,0,-1.30064e-231,0.324675,1.80102,3.10061
0.586,1.7814,-9.81,0,5.69885e-317,0.328258,1.7814,3.10061
0.588,1.76178,-9.81,0,0,0.331801,1.76178,3.10061
0.59,1.74216,-9.81,0,-1.00042e-10,0.335305,1.74216,3.10061
0.592,1.72254,-9.81,0,1,0.338769,1.72254,3.10061
0.594,1.70292,-9.81,0,1,0.342195,1.70292,3.10061
0.596,1.6833,-9.81,0,6.35379e-315,0.345581,1.6833,3.10061
0.598,1.66368,-9.81,0,6.35885e-315,0.348928,1.66368,3.10061
0.6,1.64406,-9.81,0,2.49997e-321,0.352236,1.64406,3.10061
0.602,1.62444,-9.81,0,5.91805e-315,0.355504,1.62444,3.10061
0.604,1.60482,-9.81,0,-3.8231e-270,0.358734,1.60482,3.10061
0.606,1.5852,-9.81,0,1.2732e-313,0.361924,1.5852,3.10061
0.608,1.56558,-9.81,0,1,0.365074,1.56558,3.10061
0.61,1.54596,-9.81,0,5.97186e-315,0.368186,1.54596,3.10061
0.612,1.52634,-9.81,0,3.39519e-313,0.371258,1.52634,3.10061
0.614,1.50672,-9.81,0,-7,0.374291,1.50672,3.10061
0.616,1.4871,-9.81,0,8.50496e-315,0.377285,1.4871,3.10061
0.618,1.46748,-9.81,0,0,0.38024,1.46748,3.10061
0.62,1.44786,-9.81,0,2,0.383155,1.44786,3.10061
0.622,1.42824,-9.81,0,6.22391e-315,0.386031,1.42824,3.10061
0.624,1.40862,-9.81,0,-2.25208e-310,0.388868,1.40862,3.10061
0.626,1.389,-9.81,0,6.95194e-310,0.391666,1.389,3.10061
0.628,1.36938,-9.81,0,6.95194e-310,0.394424,1.36938,3.10061
0.63,1.34976,-9.81,0,6.95194e-310,0.397143,1.34976,3.10061
0.632,1.33014,-9.81,0,2.122e-314,0.399823,1.33014,3.10061
0.634,1.31052,-9.81,0,0,0.402464,1.31052,3.10061
0.636,1.2909,-9.81,0,0,0.405065,1.2909,3.10061
0.638,1.27128,-9.81,0,3.16202e-322,0.407627,1.27128,3.10061
0.64,1.25166,-9.81,0,8.09526e-300,0.41015,1.25166,3.10061
0.642,1.23204,-9.81,0,0,0.412634,1.23204,3.10061
0.644,1.21242,-9.81,0,-3.82498e-270,0.415078,1.21242,3.10061
0.646,1.1928,-9.81,0,1.2732e-313,0.417484,1.1928,3.10061
0.648,1.17318,-9.81,0,1,0.41985,1.17318,3.10061
0.65,1.15356,-9.81,0,5.97186e-315,0.422176,1.15356,3.10061
0.652,1.13394,-9.81,0,4.94066e-324,0.424464,1.13394,3.10061
0.654,1.11432,-9.81,0,0.5,0.426712,1.11432,3.10061
0.656,1.0947,-9.81,0,8.50496e-315,0.428921,1.0947,3.10061
0.658,1.07508,-9.81,0,0,0.431091,1.07508,3.10061
0.66,1.05546,-9.81,0,2,0.433221,1.05546,3.10061
0.662,1.03584,-9.81,0,7.56603e-307,0.435313,1.03584,3.10061
0.664,1.01622,-9.81,0,-3.82591e-270,0.437365,1.01622,3.10061
0.666,0.9966,-9.81,0,5.32409e-315,0.439378,0.9966,3.10061
0.668,0.97698,-9.81,0,6.338e-315,0.441351,0.97698,3.10061
0.67,0.95736,-9.81,0,4.15074e-317,0.443286,0.95736,3.10061
0.672,0.93774,-9.81,0,0,0.445181,0.93774,3.10061
0.674,0.91812,-9.81,0,5.30257e-315,0.447036,0.91812,3.10061
0.676,0.8985,-9.81,0,5.3241e-315,0.448853,0.8985,3.10061
0.678,0.87888,-9.81,0,0,0.45063,0.87888,3.10061
0.68,0.85926,-9.81,0,4.17271e-309,0.452369,0.85926,3.10061
0.682,0.83964,-9.81,0,1.78021e-306,0.454068,0.83964,3.10061
0.684,0.82002,-9.81,0,-3.82656e-270,0.455727,0.82002,3.10061
