"time", "stairBouncingBall.Root.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.x", "stairBouncingBall.Root.stairBouncingBallwin3264.der(x)", "stairBouncingBall.Root.stairBouncingBallwin3264.y", "stairBouncingBall.Root.stairBouncingBallwin3264.der(y)", "stairBouncingBall.Root.stairBouncingBallwin3264.xs", "stairBouncingBall.Root.stairBouncingBallwin3264.der(xs)", "stairBouncingBall.Root.stairBouncingBallwin3264.ys", "stairBouncingBall.Root.stairBouncingBallwin3264.der(ys)", "stairBouncingBall.Root.stairBouncingBallwin3264.rebound", "stairBouncingBall.Root.stairBouncingBallwin3264.stair"
0.15, 0.0009972, 0, 0.649440338075, 0.492555966193, 10.3902318303, -1.46002064617, 0.492555966193, -0.0492555966193, -1.46002064617, -9.66064793538, 0, 10
0.16, 0.0009972, 0, 0.654363565193, 0.492063643481, 10.3751741336, -1.55658140277, 0.492063643481, -0.0492063643481, -1.55658140277, -9.65099185972, 0, 10
0.16, 0.0009972, 0, 0.654363565193, 0.492063643481, 10.3751741336, -1.55658140277, 0.492063643481, -0.0492063643481, -1.55658140277, -9.65099185972, 0, 10
0.17, 0.0009972, 0, 0.659281860641, 0.491571813936, 10.3591491736, -1.65304543641, 0.491571813936, -0.0491571813936, -1.65304543641, -9.64134545636, 0, 10
0.17, 0.0009972, 0, 0.659281860641, 0.491571813936, 10.3591491736, -1.65304543641, 0.491571813936, -0.0491571813936, -1.65304543641, -9.64134545636, 0, 10
0.18, 0.0009972, 0, 0.664195224421, 0.491080477558, 10.3421569504, -1.7494127471, 0.491080477558, -0.0491080477558, -1.7494127471, -9.63170872529, 0, 10
0.18, 0.0009972, 0, 0.664195224421, 0.491080477558, 10.3421569504, -1.7494127471, 0.491080477558, -0.0491080477558, -1.7494127471, -9.63170872529, 0, 10
0.19, 0.0009972, 0, 0.66910365653, 0.490589634347, 10.324197464, -1.84568333485, 0.490589634347, -0.0490589634347, -1.84568333485, -9.62208166652, 0, 10
0.19, 0.0009972, 0, 0.66910365653, 0.490589634347, 10.324197464, -1.84568333485, 0.490589634347, -0.0490589634347, -1.84568333485, -9.62208166652, 0, 10
0.2, 0.0009972, 0, 0.674007156971, 0.490099284303, 10.3052707143, -1.94185719964, 0.490099284303, -0.0490099284303, -1.94185719964, -9.61246428004, 0, 10
0.2, 0.0009972, 0, 0.674007156971, 0.490099284303, 10.3052707143, -1.94185719964, 0.490099284303, -0.0490099284303, -1.94185719964, -9.61246428004, 0, 10
0.21, 0.0009972, 0, 0.678905725742, 0.489609427426, 10.2853767014, -2.03793434148, 0.489609427426, -0.0489609427426, -2.03793434148, -9.60285656585, 0, 10
0.21, 0.0009972, 0, 0.678905725742, 0.489609427426, 10.2853767014, -2.03793434148, 0.489609427426, -0.0489609427426, -2.03793434148, -9.60285656585, 0, 10
0.22, 0.0009972, 0, 0.683799555231, 0.489120044477, 10.264553159, -2.133918511, 0.489120044477, -0.0489120044477, -2.133918511, -9.5932581489, 0, 10
0.22, 0.0009972, 0, 0.683799555231, 0.489120044477, 10.264553159, -2.133918511, 0.489120044477, -0.0489120044477, -2.133918511, -9.5932581489, 0, 10
0.23, 0.0009972, 0, 0.688688551074, 0.488631144893, 10.2427815789, -2.22980786854, 0.488631144893, -0.0488631144893, -2.22980786854, -9.58366921315, 0, 10
0.23, 0.0009972, 0, 0.688688551074, 0.488631144893, 10.2427815789, -2.22980786854, 0.488631144893, -0.0488631144893, -2.22980786854, -9.58366921315, 0, 10
0.24, 0.0009972, 0, 0.693572657751, 0.488142734225, 10.2200510719, -2.32560133174, 0.488142734225, -0.0488142734225, -2.32560133174, -9.57408986683, 0, 10
0.24, 0.0009972, 0, 0.693572657751, 0.488142734225, 10.2200510719, -2.32560133174, 0.488142734225, -0.0488142734225, -2.32560133174, -9.57408986683, 0, 10
0.25, 0.0009972, 0, 0.698451875262, 0.487654812474, 10.196361638, -2.4212989006, 0.487654812474, -0.0487654812474, -2.4212989006, -9.56452010994, 0, 10
